"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
1,"Amari Terry","WR",13,2,43,21.5,0,4,11,2.8,0,252,NA,"air-force",2022
2,"Ben Jefferson","WR",13,1,11,11,0,0,0,NA,0,95,NA,"air-force",2022
3,"Brad Roberts","RB",13,1,0,0,0,0,0,NA,0,1737,NA,"air-force",2022
4,"Omar Fattah","FB",12,1,0,0,0,0,0,NA,0,130,NA,"air-force",2022
1,"Angelo Howze","DL",12,2,20,10,0,0,0,NA,0,20,NA,"akron",2022
2,"Blake Hester","RB",12,20,464,23.2,0,1,0,0,0,474,NA,"akron",2022
3,"Clyde Price","RB",12,1,11,11,0,0,0,NA,0,459,NA,"akron",2022
4,"Shocky Jacques-Louis","WR",12,13,305,23.5,0,2,3,1.5,0,1239,NA,"akron",2022
5,"Anthony Grimes","WR",9,2,37,18.5,0,13,93,7.2,0,217,NA,"akron",2022
6,"Bobby Golden","WR",9,5,90,18,0,3,26,8.7,0,121,NA,"akron",2022
1,"Fred Farrier II","WR",13,1,0,0,0,0,0,NA,0,123,NA,"alabama-birmingham",2022
2,"Jermaine Brown Jr.","RB",13,19,475,25,0,0,0,NA,0,1543,NA,"alabama-birmingham",2022
3,"Reynard Ellis","LB",13,3,36,12,0,0,0,NA,0,36,NA,"alabama-birmingham",2022
4,"Starling Thomas V","CB",13,3,45,15,0,10,51,5.1,0,96,NA,"alabama-birmingham",2022
5,"Mac McWilliams","CB",7,0,0,NA,0,1,21,21,0,99,NA,"alabama-birmingham",2022
1,"Brian Branch","DB",13,0,0,NA,0,2,65,32.5,1,67,NA,"alabama",2022
2,"Isaiah Bond","WR",13,0,0,NA,0,1,34,34,0,254,NA,"alabama",2022
3,"Ja'Corey Brooks","WR",13,7,106,15.1,0,0,0,NA,0,780,NA,"alabama",2022
4,"Kool-Aid McKinstry","DB",13,0,0,NA,0,21,332,15.8,0,358,NA,"alabama",2022
5,"Quandarrius Robinson","LB",13,0,0,NA,0,1,3,3,0,3,NA,"alabama",2022
6,"Emmanuel Henderson","WR",12,1,8,8,0,0,0,NA,0,22,NA,"alabama",2022
7,"Jahmyr Gibbs","RB",12,13,258,19.8,0,0,0,NA,0,1628,NA,"alabama",2022
8,"Kendrick Law","WR",11,0,0,NA,0,1,-2,-2,0,101,NA,"alabama",2022
1,"David Larkins","TE",12,1,5,5,0,0,0,NA,0,35,NA,"appalachian-state",2022
2,"Dexter Lawson Jr.","DB",12,1,27,27,0,0,0,NA,0,28,NA,"appalachian-state",2022
3,"Milan Tucker","DB",12,22,620,28.2,1,0,0,NA,0,620,NA,"appalachian-state",2022
4,"Tyler Page","WR",12,0,0,NA,0,16,79,4.9,0,209,NA,"appalachian-state",2022
5,"Ahmani Marshall","RB",11,1,13,13,0,0,0,NA,0,440,NA,"appalachian-state",2022
6,"Kaedin Robinson","WR",11,1,10,10,0,0,0,NA,0,444,NA,"appalachian-state",2022
1,"Cam Johnson","WR",12,0,0,NA,0,1,9,9,0,93,NA,"arizona-state",2022
2,"Charles Hall","WR",11,1,16,16,0,0,0,NA,0,157,NA,"arizona-state",2022
3,"Daniyel Ngata","RB",11,18,451,25.1,0,0,0,NA,0,776,NA,"arizona-state",2022
4,"Javen Jacobs","WR",11,4,105,26.3,0,7,18,2.6,0,123,NA,"arizona-state",2022
5,"D.J. Taylor","DB",10,10,225,22.5,0,11,36,3.3,0,261,NA,"arizona-state",2022
1,"Dorian Singer","WR",12,0,0,NA,0,3,32,10.7,0,1137,NA,"arizona",2022
2,"Jacob Cowing","WR",12,0,0,NA,0,7,56,8,0,1091,NA,"arizona",2022
3,"Anthony Simpson","WR",11,18,342,19,0,0,0,NA,0,406,NA,"arizona",2022
4,"Anthony Solomon","LB",6,1,-5,-5,0,0,0,NA,0,-5,NA,"arizona",2022
5,"Jamarye Joiner","WR",5,1,17,17,0,3,5,1.7,0,25,NA,"arizona",2022
1,"Johnnie Lang","RB",12,37,886,23.9,1,14,87,6.2,0,1630,NA,"arkansas-state",2022
2,"Reagan Ealy","WR",12,10,171,17.1,0,1,15,15,0,232,NA,"arkansas-state",2022
3,"Champ Flemings","WR",11,3,49,16.3,0,1,-6,-6,0,555,NA,"arkansas-state",2022
4,"Wyatt Begeal","WR",1,1,0,0,0,0,0,NA,0,0,NA,"arkansas-state",2022
1,"AJ Green","RB",13,8,127,15.9,0,0,0,NA,0,616,NA,"arkansas",2022
