"rk","player","pos","g","ret","yds","y_ret","krtd","ret_2","yds_2","y_ret_2","prtd","ap_yd","awards","Team","Year"
1,"Brandon Lewis","WR",13,1,19,19,0,0,0,NA,0,830,NA,"air-force",2021
2,"Dane Kinamon","WR",12,1,0,0,0,2,9,4.5,0,315,NA,"air-force",2021
3,"Jake Spiewak","WR",12,0,0,NA,0,1,7,7,0,38,NA,"air-force",2021
4,"Omar Fattah","FB",10,1,0,0,0,0,0,NA,0,220,NA,"air-force",2021
5,"Micah Davis","WR",8,2,47,23.5,0,2,20,10,0,648,NA,"air-force",2021
6,"Owen Burk","RB",4,1,4,4,0,0,0,NA,0,26,NA,"air-force",2021
1,"Anthony Grimes","WR",12,2,17,8.5,0,0,0,NA,0,150,NA,"akron",2021
2,"Blake Hester","RB",12,2,23,11.5,0,0,0,NA,0,333,NA,"akron",2021
3,"Charles Amankwaa","DB",12,0,0,NA,0,1,1,1,0,39,NA,"akron",2021
4,"Kevin Dever","",12,1,0,0,0,0,0,NA,0,0,NA,"akron",2021
5,"Konata Mumpfield","WR",12,0,0,NA,0,3,14,4.7,0,765,NA,"akron",2021
6,"Tyson Durant","CB",12,3,33,11,0,0,0,NA,0,50,NA,"akron",2021
7,"Bryce Profitt","WR",11,4,32,8,0,0,0,NA,0,32,NA,"akron",2021
8,"Michael Mathison","WR",11,19,459,24.2,1,3,18,6,0,1188,NA,"akron",2021
9,"Jonzell Norrils","RB",10,1,0,0,0,0,0,NA,0,726,NA,"akron",2021
10,"Josh Bryant","RB",9,1,0,0,0,0,0,NA,0,6,NA,"akron",2021
11,"Oran Singleton Jr.","WR",9,5,89,17.8,0,2,17,8.5,0,232,NA,"akron",2021
12,"Kevin Dever Jr.","S",6,1,0,0,0,0,0,NA,0,0,NA,"akron",2021
1,"Gerrit Prince","TE",13,1,7,7,0,0,0,NA,0,706,NA,"alabama-birmingham",2021
2,"Jermaine Brown Jr.","RB",13,10,200,20,0,0,0,NA,0,1031,NA,"alabama-birmingham",2021
3,"Kelle Sanders","LB",13,1,2,2,0,0,0,NA,0,2,NA,"alabama-birmingham",2021
4,"Starling Thomas V","CB",13,4,52,13,0,10,78,7.8,0,136,NA,"alabama-birmingham",2021
5,"Will Conner","LB",8,1,0,0,0,0,0,NA,0,0,NA,"alabama-birmingham",2021
1,"Cameron Latu","TE",15,2,7,3.5,0,0,0,NA,0,417,NA,"alabama",2021
2,"Jahleel Billingsley","TE",15,1,17,17,0,0,0,NA,0,273,NA,"alabama",2021
3,"Jameson Williams","WR",15,10,352,35.2,2,0,0,NA,0,1947,NA,"alabama",2021
4,"Slade Bolden","WR",15,4,67,16.8,0,14,87,6.2,0,562,NA,"alabama",2021
