rk,player,pos,g,solo,ast,comb,tfl,sk,int,yds,avg,int_td,pd,fr,yds_2,frtd,ff,awards,Team,Year,ret,y_ret,krtd,ret_2,y_ret_2,prtd,ap_yd,xpm,xpa,xp_percent,fgm,fga,fg_percent,pts,pnt,y_p,Rk,Player,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,att,y_a,td,y_g,rec,y_r,td_2,y_g_2,plays,yds_3,td_3,rush,oth_td,x2pm,sfty,pts_g
2.0,A.J. Musolino,LB,14.0,48.0,44.0,92.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,,kent-state,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,A.J. Odums,CB,6.0,6.0,3.0,9.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,new-mexico,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,A.J. Odums,CB,12.0,28.0,20.0,48.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,new-mexico,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,A.J. Odums,CB,12.0,25.0,11.0,36.0,1.0,0.0,0.0,0.0,,0.0,8.0,0.0,0.0,0.0,0.0,,texas-el-paso,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,A.J. Rollins,DL,4.0,3.0,4.0,7.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,nebraska,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,A.J. Thomas,LB,11.0,42.0,11.0,53.0,2.0,1.0,0.0,0.0,,0.0,5.0,0.0,0.0,0.0,0.0,,western-michigan,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,A.J. Toney,WR,7.0,,,,,,,0.0,5.8,,,,46.0,,,,middle-tennessee-state,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,8.0,5.8,0.0,6.6,8.0,46.0,0.0,,,,,
23.0,A.J. Toney,WR,2.0,,,,,,,0.0,2.3,,,,7.0,,,,middle-tennessee-state,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,3.0,2.3,0.0,3.5,3.0,7.0,0.0,,,,,
8.0,A.J. Turner,RB,8.0,,,,,,,100.0,5.8,0.0,,,21.0,0.0,,,marshall,2022,,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,6.0,,,,,,,,,,,,,,,,,,,,,17.0,5.9,1.0,12.5,1.0,5.3,1.0,2.6,21.0,121.0,1.0,0.0,0.0,0.0,0.0,0.8
19.0,A.J. Turner,RB,3.0,,,,,,,20.0,3.6,,,,5.0,,,,marshall,2023,3.0,10.7,0.0,0.0,,0.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.3,0.0,6.7,1.0,5.0,0.0,1.7,7.0,25.0,0.0,,,,,
26.0,A.J. Watkins,DE,8.0,3.0,6.0,9.0,4.0,2.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,georgia-southern,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,A.J. Watts,CB,10.0,27.0,5.0,32.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,akron,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,A.J. Watts,S,12.0,37.0,16.0,53.0,1.0,0.0,2.0,33.0,16.5,0.0,6.0,1.0,0.0,0.0,0.0,,louisiana-monroe,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,A.J. Woods,DB,13.0,21.0,6.0,27.0,1.0,0.0,1.0,73.0,73.0,0.0,7.0,0.0,0.0,0.0,1.0,,pittsburgh,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,A.J. Woods,DB,13.0,19.0,9.0,28.0,2.0,0.0,1.0,27.0,27.0,0.0,13.0,0.0,0.0,0.0,0.0,,pittsburgh,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,A.J. Woods,DB,12.0,15.0,15.0,30.0,4.0,2.0,1.0,17.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,,pittsburgh,2023,1.0,17.0,0.0,0.0,,0.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,A.T. Perry,WR,14.0,,,,,,,0.0,18.2,0.0,,,1293.0,0.0,,,wake-forest,2021,,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,92.0,,,,,,,,,,,,,,,,,,,,,0.0,,15.0,0.0,15.0,18.2,15.0,92.4,71.0,1293.0,15.0,0.0,0.0,1.0,0.0,6.6
2.0,A.T. Perry,WR,13.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,1096.0,0.0,0.0,,wake-forest,2022,,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,66.0,,,,,,,,,,,,,,,,,,,,,0.0,,11.0,0.0,11.0,13.5,11.0,84.3,81.0,1096.0,11.0,0.0,0.0,0.0,0.0,5.1
10.0,AC White,TE,6.0,,,,,,,,,0.0,,,,0.0,,,old-dominion,2021,,,0.0,,,1.0,,0.0,0.0,,0.0,0.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,1.0
26.0,AG McGhee,S,5.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,marshall,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,AG McGhee,S,13.0,23.0,23.0,46.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,marshall,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,AJ Arcuri,T,13.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,michigan-state,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,AJ Barner,TE,12.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,11.6,0.0,0.0,0.0,162.0,0.0,0.0,,indiana,2021,,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,6.0,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,0.0,1.0,11.6,1.0,13.5,14.0,162.0,1.0,0.0,0.0,0.0,0.0,0.5
5.0,AJ Barner,TE,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.1,0.0,0.0,0.0,199.0,0.0,0.0,,indiana,2022,,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,20.0,,,,,,,,,,,,,,,,,,,,,0.0,,3.0,0.0,3.0,7.1,3.0,19.9,28.0,199.0,3.0,0.0,0.0,1.0,0.0,2.0
19.0,AJ Barner,TE,15.0,,,,,,,0.0,11.3,0.0,,,249.0,0.0,,,michigan,2023,,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,6.0,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,0.0,1.0,11.3,1.0,16.6,22.0,249.0,1.0,0.0,0.0,0.0,0.0,0.4
26.0,AJ Beale,CB,11.0,5.0,3.0,8.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,arkansas-state,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,AJ Bianco,QB,8.0,,,,,,,183.0,4.4,0.0,,,0.0,0.0,,,nevada,2023,,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,6.0,,,,,,,,,,,,,,,,,,,,,42.0,4.4,1.0,22.9,0.0,,0.0,0.0,42.0,183.0,1.0,1.0,0.0,0.0,0.0,0.8
25.0,AJ Brown,S,12.0,6.0,1.0,7.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,alabama-birmingham,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,AJ Calabro,DB,9.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,syracuse,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,AJ Campbell,DL,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,kent-state,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,AJ Campbell,DL,5.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,kent-state,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,AJ Cottrill,LB,14.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,florida-state,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,AJ Crider,LB,12.0,6.0,11.0,17.0,1.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,toledo,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,AJ Davis,CB,4.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,southern-methodist,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,AJ Davis,CB,7.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,southern-methodist,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,AJ DeShazor,LB,12.0,30.0,34.0,64.0,2.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,,south-alabama,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,AJ DeShazor,LB,11.0,13.0,5.0,18.0,2.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,south-alabama,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,AJ Duffy,QB,3.0,,,,,,,5.0,5.0,,,,0.0,,,,florida-state,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,0.0,1.7,0.0,,0.0,0.0,1.0,5.0,0.0,,,,,
26.0,AJ Duffy,QB,1.0,,,,,,,5.0,1.7,,,,0.0,,,,florida-state,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.7,0.0,5.0,0.0,,0.0,0.0,3.0,5.0,0.0,,,,,
7.0,AJ Green,RB,12.0,0.0,1.0,1.0,0.0,0.0,0.0,227.0,5.8,0.0,0.0,0.0,84.0,0.0,0.0,,arkansas,2021,9.0,16.3,0.0,0.0,,0.0,458.0,0.0,0.0,,0.0,0.0,,12.0,,,,,,,,,,,,,,,,,,,,,47.0,4.8,2.0,18.9,1.0,12.0,1.0,7.0,54.0,311.0,2.0,1.0,0.0,0.0,0.0,1.0
7.0,AJ Green,RB,13.0,1.0,0.0,1.0,0.0,0.0,0.0,414.0,5.3,0.0,0.0,0.0,75.0,0.0,0.0,,arkansas,2022,8.0,15.9,0.0,0.0,,0.0,616.0,0.0,0.0,,0.0,0.0,,18.0,,,,,,,,,,,,,,,,,,,,,87.0,4.8,3.0,31.8,0.0,12.5,0.0,5.8,93.0,489.0,3.0,3.0,0.0,0.0,0.0,1.4
6.0,AJ Green,RB,12.0,2.0,0.0,2.0,0.0,0.0,0.0,312.0,4.6,0.0,0.0,0.0,25.0,0.0,0.0,,arkansas,2023,,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,18.0,,,,,,,,,,,,,,,,,,,,,67.0,4.7,3.0,26.0,1.0,4.2,1.0,2.1,73.0,337.0,3.0,2.0,0.0,0.0,0.0,1.5
27.0,AJ Harris,DB,7.0,3.0,5.0,8.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,georgia,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,AJ Howard Jr.,RB,13.0,,,,,,,106.0,6.6,0.0,,,40.0,0.0,,,army,2021,3.0,13.0,0.0,0.0,,0.0,185.0,0.0,0.0,,0.0,0.0,,12.0,,,,,,,,,,,,,,,,,,,,,20.0,5.3,2.0,8.2,0.0,20.0,0.0,3.1,22.0,146.0,2.0,2.0,0.0,0.0,0.0,0.9
14.0,AJ Jones,WR,10.0,,,,,,,0.0,5.4,,,,27.0,,,,arizona,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,5.0,5.4,0.0,2.7,5.0,27.0,0.0,,,,,
14.0,AJ King,DB,6.0,14.0,10.0,24.0,1.0,0.5,0.0,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,,colorado-state,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,AJ King,DB,12.0,33.0,7.0,40.0,2.0,1.0,0.0,0.0,,0.0,8.0,0.0,0.0,0.0,1.0,,nevada,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,AJ Lewis,TE,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,60.0,0.0,0.0,,troy,2021,1.0,0.0,0.0,0.0,,0.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,10.0,6.0,0.0,5.0,10.0,60.0,0.0,,,,,
27.0,AJ Mathis,LB,6.0,6.0,2.0,8.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,florida-international,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,AJ Mayer,QB,9.0,,,,,,,169.0,5.3,0.0,,,0.0,0.0,,,arkansas-state,2022,,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,12.0,,,,,,,,,,,,,,,,,,,,,32.0,5.3,2.0,18.8,0.0,,0.0,0.0,32.0,169.0,2.0,2.0,0.0,0.0,0.0,1.3
11.0,AJ Mayer,QB,7.0,,,,,,,59.0,2.3,0.0,,,0.0,0.0,,,miami-oh,2021,,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,12.0,,,,,,,,,,,,,,,,,,,,,26.0,2.3,2.0,8.4,1.0,,1.0,0.0,26.0,59.0,2.0,1.0,0.0,0.0,0.0,1.7
18.0,AJ Newberry,RB,4.0,,,,,,,96.0,4.8,,,,0.0,,,,vanderbilt,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,4.8,0.0,24.0,0.0,,0.0,0.0,20.0,96.0,0.0,,,,,
44.0,AJ Odom,DL,13.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,memphis,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,AJ Padgett,QB,3.0,,,,,,,14.0,0.5,,,,0.0,,,,rice,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,0.5,0.0,4.7,0.0,,0.0,0.0,30.0,14.0,0.0,,,,,
10.0,AJ Padgett,QB,6.0,,,,,,,14.0,0.4,0.0,,,0.0,0.0,,,rice,2023,,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,12.0,,,,,,,,,,,,,,,,,,,,,32.0,0.4,2.0,2.3,0.0,,0.0,0.0,32.0,14.0,2.0,2.0,0.0,0.0,0.0,2.0
