"X","FirstName","LastName","Position","Origin","Destination","TransferDate","Rating","Stars","Eligibility","Team","Transfer","Player","Team_New"
1,"Kyle","Williams","WR","Washington State","","2023-12-27T18:20:00.000Z",NA,3,"Immediate","Washington State",FALSE,"Kyle Williams","washington-state"
2,"Danny","Saili","DL","BYU","Arkansas","2024-05-01T01:55:00.000Z",0.87,3,"Immediate","Arkansas",TRUE,"Danny Saili","brigham-young"
3,"Julian","Humphrey","CB","Georgia","","2024-01-03T00:27:00.000Z",NA,4,"Immediate","Georgia",FALSE,"Julian Humphrey","georgia"
4,"Ryder","Burton","QB","BYU","West Virginia","2024-05-01T01:54:00.000Z",0.84,3,"Immediate","West Virginia",TRUE,"Ryder Burton","brigham-young"
5,"Keyshon","Mills","CB","SMU","","2024-04-30T22:17:00.000Z",NA,3,"Immediate","SMU",FALSE,"Keyshon Mills","southern-methodist"
6,"Jayson","Jenkins","DL","Tennessee","","2024-04-22T19:24:00.000Z",NA,3,"Immediate","Tennessee",FALSE,"Jayson Jenkins","tennessee"
7,"Lake","Ellis","CB","Bryant","Massachusetts","2023-11-24T20:05:00.000Z",0.85,3,"Immediate","Massachusetts",TRUE,"Lake Ellis",NA
8,"Teivis","Tuioti","IOL","Colorado State","San Diego State","2024-04-30T16:32:00.000Z",NA,3,"Immediate","San Diego State",TRUE,"Teivis Tuioti","colorado-state"
9,"Decamerion","Richardson","CB","Mississippi State","Ole Miss","2023-12-13T17:23:00.000Z",0.91,4,"Immediate","Ole Miss",TRUE,"Decamerion Richardson","mississippi-state"
10,"E.J.","Warner","QB","Temple","Rice","2023-11-28T23:43:00.000Z",0.86,3,"Immediate","Rice",TRUE,"E.J. Warner","temple"
11,"Tacario","Davis","CB","Arizona","","2024-01-23T16:37:00.000Z",0.92,4,"Withdrawn","Arizona",FALSE,"Tacario Davis","arizona"
12,"AK","Kelly","WR","Wake Forest","","2023-12-04T20:28:00.000Z",NA,3,"Immediate","Wake Forest",FALSE,"AK Kelly","wake-forest"
13,"Devin","Sherwood","QB","Virginia","","2023-12-05T22:17:00.000Z",NA,NA,"Withdrawn","Virginia",FALSE,"Devin Sherwood","virginia"
14,"Herman","Brister III","S","Air Force","Southern","2024-04-18T00:17:00.000Z",NA,NA,"Immediate","Southern",TRUE,"Herman Brister III","air-force"
15,"Jalen","Montgomery","RB","Middle Tennessee","Eastern Kentucky","2024-04-17T22:23:00.000Z",NA,NA,"Immediate","Eastern Kentucky",TRUE,"Jalen Montgomery","middle-tennessee-state"
16,"Ralph","Mency","DL","Middle Tennessee","","2023-12-04T17:10:00.000Z",NA,3,"Withdrawn","Middle Tennessee",FALSE,"Ralph Mency","middle-tennessee-state"
17,"Tybo","Rogers","RB","Washington","","2024-01-19T06:00:00.000Z",0.88,3,"Withdrawn","Washington",FALSE,"Tybo Rogers","washington"
18,"Charles","Brantley","CB","Michigan State","","2023-12-09T16:45:00.000Z",NA,3,"Withdrawn","Michigan State",FALSE,"Charles Brantley","michigan-state"
19,"Chase","Bisontis","OT","Texas A&M","","2023-12-06T18:35:00.000Z",0.94,4,"Withdrawn","Texas A&M",FALSE,"Chase Bisontis","texas-am"
20,"Lyndon","Cooper","IOL","NC State","Pittsburgh","2023-12-04T13:44:00.000Z",0.84,3,"Immediate","Pittsburgh",TRUE,"Lyndon Cooper","north-carolina-state"
21,"Noah","Toster","WR","Chowan","South Alabama","2023-11-23T15:44:00.000Z",0.81,3,"Immediate","South Alabama",TRUE,"Noah Toster",NA
22,"Buddy","Mack III","S","Pittsburgh","South Carolina","2023-11-29T14:51:00.000Z",NA,3,"Immediate","South Carolina",TRUE,"Buddy Mack III","pittsburgh"
23,"Antonio","Cotman Jr.","CB","Virginia Tech","Charlotte","2024-04-17T22:17:00.000Z",0.85,3,"Immediate","Charlotte",TRUE,"Antonio Cotman Jr.","virginia-tech"
24,"Jawaun","Singletary","IOL","Grambling","New Mexico","2023-12-01T06:00:00.000Z",0.84,3,"Immediate","New Mexico",TRUE,"Jawaun Singletary",NA
25,"Carl","Biddings","DL","Indiana","","2023-12-12T13:53:00.000Z",NA,NA,"Withdrawn","Indiana",FALSE,"Carl Biddings","indiana"
26,"Hunter","Vivaldi","WR","Texas A&M","","2023-09-05T17:48:00.000Z",NA,NA,"Immediate","Texas A&M",FALSE,"Hunter Vivaldi","texas-am"
27,"Ahmad","Nalls","LB","Kent State","","2023-10-02T17:34:00.000Z",NA,3,"Immediate","Kent State",FALSE,"Ahmad Nalls","kent-state"
28,"Dylan","Wittke","QB","Virginia Tech","Minnesota","2024-04-17T20:55:00.000Z",0.83,3,"Immediate","Minnesota",TRUE,"Dylan Wittke","virginia-tech"
29,"Quentin","Ajiero","CB","Duke","","2024-04-29T20:16:00.000Z",NA,3,"Immediate","Duke",FALSE,"Quentin Ajiero","duke"
30,"Dylan","Devito","LB","Arizona State","","2023-09-29T17:35:00.000Z",NA,2,"Immediate","Arizona State",FALSE,"Dylan Devito","arizona-state"
31,"Rahsul","Faison","RB","Utah State","","2024-04-26T05:00:00.000Z",NA,2,"Immediate","Utah State",FALSE,"Rahsul Faison","utah-state"
32,"Will","Shaffer","LB","Utah State","","2024-04-18T16:07:00.000Z",0.83,3,"Immediate","Utah State",FALSE,"Will Shaffer","utah-state"
33,"Greyson","Morgan","TE","Hawai'i","","2023-09-27T17:35:00.000Z",NA,NA,"Immediate","Hawai'i",FALSE,"Greyson Morgan","hawaii"
34,"Dallas","Branch","CB","San Diego State","Kent State","2023-09-27T15:13:00.000Z",0.85,3,"Immediate","Kent State",TRUE,"Dallas Branch","san-diego-state"
35,"Bryce","Llewellyn","S","Charleston Southern","Eastern Michigan","2023-12-03T17:59:00.000Z",0.86,3,"Immediate","Eastern Michigan",TRUE,"Bryce Llewellyn",NA
36,"Simeon","Barrow Jr.","DL","Michigan State","Miami","2024-04-18T14:13:00.000Z",0.87,3,"Immediate","Miami",TRUE,"Simeon Barrow Jr.","michigan-state"
37,"Moussa","Berry","WR","Western Kentucky","","2024-04-25T00:07:00.000Z",NA,NA,"Immediate","Western Kentucky",FALSE,"Moussa Berry","western-kentucky"
38,"Jalen","Emery","CB","Houston","","2024-04-24T23:15:00.000Z",NA,3,"Withdrawn","Houston",FALSE,"Jalen Emery","houston"
39,"Tyler","Shough","QB","Texas Tech","Louisville","2023-11-19T22:51:00.000Z",0.87,3,"Immediate","Louisville",TRUE,"Tyler Shough","texas-tech"
40,"Gabriel","Arena","IOL","Virginia Tech","Buffalo","2024-04-17T19:50:00.000Z",0.84,3,"Immediate","Buffalo",TRUE,"Gabriel Arena","virginia-tech"
41,"Billy","Conaway","RB","Kansas","","2024-04-17T18:52:00.000Z",NA,NA,"Immediate","Kansas",FALSE,"Billy Conaway","kansas"
42,"Owen","Anderson","TE","Illinois","Massachusetts","2024-04-09T01:23:00.000Z",NA,3,"Immediate","Massachusetts",TRUE,"Owen Anderson","illinois"
43,"Da'Marcus","Cosby II","CB","Sam Houston","","2024-04-17T19:33:00.000Z",NA,NA,"Immediate","Sam Houston",FALSE,"Da'Marcus Cosby II","sam-houston-state"
44,"Bradley","Weaver","DL","Ohio","","2024-04-23T15:27:00.000Z",NA,3,"Immediate","Ohio",FALSE,"Bradley Weaver","ohio"
45,"Cael","Vanderbush","TE","Iowa","Indiana State","2024-04-23T17:23:00.000Z",NA,3,"Immediate","Indiana State",TRUE,"Cael Vanderbush","iowa"
46,"Ryan","Robinson Jr.","CB","LSU","Iowa State","2024-04-17T18:48:00.000Z",0.85,3,"Immediate","Iowa State",TRUE,"Ryan Robinson Jr.","louisiana-state"
47,"Anthony","Madrigal","OLB","San José State","","2023-11-29T06:00:00.000Z",NA,2,"Immediate","San José State",FALSE,"Anthony Madrigal","san-jose-state"
48,"Carson","Voss","P","Western Michigan","Michigan State","2023-12-08T06:00:00.000Z",NA,NA,"Immediate","Michigan State",TRUE,"Carson Voss","western-michigan"
49,"NyNy","Davis","WR","UL Monroe","","2024-04-17T18:45:00.000Z",NA,2,"Immediate","UL Monroe",FALSE,"NyNy Davis","louisiana-monroe"
50,"Wyatt","Redding","K","Boise State","Central Washington","2024-04-17T18:44:00.000Z",NA,2,"Immediate","Central Washington",TRUE,"Wyatt Redding","boise-state"
51,"Antonio","Gates Jr.","WR","Michigan State","","2024-04-22T17:49:00.000Z",NA,4,"Immediate","Michigan State",FALSE,"Antonio Gates Jr.","michigan-state"
52,"Christian","Ellis","S","New Mexico","","2023-11-29T16:21:00.000Z",NA,3,"Withdrawn","New Mexico",FALSE,"Christian Ellis","new-mexico"
53,"Collin","Gamble","CB","California","","2024-04-22T16:10:00.000Z",NA,3,"Immediate","California",FALSE,"Collin Gamble","california"
54,"Malik","Dixon","S","UConn","","2023-11-30T17:49:00.000Z",NA,3,"Withdrawn","UConn",FALSE,"Malik Dixon","connecticut"
55,"Kelly","Akharaiyi","WR","UTEP","Mississippi State","2023-11-30T17:52:00.000Z",0.87,3,"Immediate","Mississippi State",TRUE,"Kelly Akharaiyi","texas-el-paso"
56,"Josh","McCarty","S","Eastern Michigan","Pittsburgh","2024-04-17T18:43:00.000Z",NA,2,"Immediate","Pittsburgh",TRUE,"Josh McCarty","eastern-michigan"
57,"George","French","OT","Pittsburgh","","2024-04-17T18:42:00.000Z",NA,NA,"Immediate","Pittsburgh",FALSE,"George French","pittsburgh"
58,"Guerlens","Milfort","DL","UAB","","2024-04-17T18:40:00.000Z",NA,3,"Immediate","UAB",FALSE,"Guerlens Milfort","alabama-birmingham"
59,"Cooper","Legas","QB","Utah State","Tulsa","2024-04-17T18:40:00.000Z",0.85,3,"Immediate","Tulsa",TRUE,"Cooper Legas","utah-state"
60,"Ryan","Coe","K","North Carolina","California","2023-11-29T16:52:00.000Z",0.8,3,"Immediate","California",TRUE,"Ryan Coe","north-carolina"
61,"Kadan","Lewis","DL","Arkansas State","","2024-04-17T18:35:00.000Z",NA,3,"Immediate","Arkansas State",FALSE,"Kadan Lewis","arkansas-state"
62,"KZ","Adams","RB","Georgia State","South Carolina State","2023-12-04T14:18:00.000Z",NA,3,"Immediate","South Carolina State",TRUE,"KZ Adams","georgia-state"
63,"CJ","Brown","S","Northern Illinois","Bowling Green","2023-11-30T17:47:00.000Z",0.82,3,"Immediate","Bowling Green",TRUE,"CJ Brown","northern-illinois"
64,"Corey","Warren","DL","Georgia State","Samford","2024-04-17T18:33:00.000Z",NA,3,"Immediate","Samford",TRUE,"Corey Warren","georgia-state"
65,"Charles","Brown","CB","Texas State","Nevada","2024-04-17T18:31:00.000Z",NA,NA,"Immediate","Nevada",TRUE,"Charles Brown","texas-state"
66,"Treylin","Payne","LB","Houston","Texas State","2024-04-17T18:29:00.000Z",0.85,3,"Immediate","Texas State",TRUE,"Treylin Payne","houston"
67,"Connor","Gilbreath","TE","LSU","Boise State","2024-04-17T18:13:00.000Z",0.83,3,"Immediate","Boise State",TRUE,"Connor Gilbreath","louisiana-state"
68,"Habib","Bello","DL","Washington","","2024-04-17T18:09:00.000Z",NA,2,"Immediate","Washington",FALSE,"Habib Bello","washington"
